driverId,week,hours-logged,miles-logged
107,11,55,900
39,20,71,3700
42,23,59,3500
66,31,66,3300
99,47,53,1000
57,44,68,3300
84,50,62,3000
72,32,62,1600
53,9,78,1700
81,43,58,3500
13,38,54,3800
108,8,63,2600
38,10,62,1200
22,32,50,3800
95,25,74,200
57,34,54,1700
44,21,57,0
102,40,57,400
92,36,79,3700
36,46,77,1900
67,33,80,2100
88,32,55,3500
20,4,80,2400
93,50,60,3400
33,52,62,3300
41,2,68,3500
98,51,67,2000
91,42,57,3000
98,25,80,2200
107,26,71,800
68,16,80,900
37,23,77,1800
88,9,69,2700
28,1,68,3900
24,21,65,1200
87,18,69,2000
30,39,54,3700
42,48,54,3100
63,5,76,1200
35,5,71,3500
31,42,80,1500
22,6,61,4000
29,18,52,3500
11,42,75,3500
27,14,51,3400
58,38,62,600
15,39,63,3100
65,43,71,1400
56,30,57,2300
44,32,68,2500
104,25,50,3400
34,40,58,3000
76,50,61,1800
27,24,50,1800
52,13,70,1000
95,48,72,3500
38,4,75,3400
19,16,50,100
26,5,55,1200
41,18,60,1200
17,46,70,2400
42,14,54,1800
37,9,53,2900
105,40,63,3700
86,13,67,400
30,34,69,1900
44,17,57,1500
37,33,69,800
45,46,71,600
50,30,69,2100
44,26,53,3000
99,40,72,3500
82,34,68,500
108,37,59,2500
94,42,67,1500
87,13,69,300
25,43,69,2000
11,41,75,3400
67,19,55,1800
78,41,75,2700
82,23,76,4000
48,5,76,900
30,52,53,3900
76,34,79,2400
65,21,60,3800
96,32,62,700
53,36,70,3000
10,49,68,3700
41,24,63,4000
107,44,61,4000
65,10,78,3200
99,15,74,2500
82,14,73,2300
34,38,50,2000
99,50,58,2700
76,1,67,3900
11,36,73,3000
22,1,58,2800
40,40,74,1100
95,14,79,1000
18,5,64,3400
61,50,71,3600
73,11,55,2300
81,12,75,700
24,33,66,3800
54,1,65,3000
40,35,53,3700
77,19,50,2300
56,25,75,3400
83,52,68,1000
63,29,63,500
72,30,80,3200
15,1,72,4000
20,22,78,100
36,34,57,1100
84,8,75,2100
12,30,78,200
91,3,52,1500
101,32,58,1800
41,10,59,0
71,49,68,2100
50,50,76,2100
25,52,58,2400
26,19,71,900
100,36,65,500
82,51,54,2500
25,30,53,1500
42,7,59,800
71,40,53,1900
68,12,66,2100
38,44,57,600
26,49,51,3400
97,10,74,800
39,12,77,500
19,7,71,3200
33,1,77,100
62,5,58,1500
33,14,56,0
76,48,58,4000
64,2,72,300
16,1,72,300
30,31,62,1800
25,43,58,100
44,39,50,2900
45,21,52,1100
17,19,53,3600
77,44,75,1100
45,23,56,1400
62,24,71,3100
13,17,80,900
22,38,53,1800
30,37,50,2000
86,10,55,200
31,8,80,900
32,24,57,0
80,11,75,2800
12,42,60,200
102,34,52,400
19,24,79,2800
56,13,56,3100
88,4,59,2600
76,46,74,2500
104,25,67,2400
55,46,75,2500
42,51,75,1900
27,2,75,2300
43,35,66,200
50,22,55,2400
45,30,70,400
100,19,71,1100
35,40,59,1400
55,7,63,1800
69,3,71,2600
53,18,80,700
69,43,66,900
78,24,50,300
65,51,70,0
26,10,74,500
50,35,57,400
98,29,77,1100
23,23,80,800
60,2,72,2600
14,22,69,400
55,14,56,3300
91,41,73,3900
94,24,66,3600
105,14,80,3900
24,6,58,2300
50,21,54,2200
17,21,50,1800
101,9,53,3100
84,18,66,1200
37,44,68,2100
30,17,54,2300
92,40,76,1400
87,38,53,800
60,29,61,1200
73,28,58,2500
92,31,57,1100
78,28,66,3200
14,46,73,1000
102,51,78,2900
88,25,69,1200
42,45,78,4000
43,34,52,300
35,7,61,900
71,39,69,4000
33,22,77,3500
94,38,80,1000
94,18,65,800
58,16,70,2400
85,3,76,2500
99,36,51,4000
73,5,74,3400
104,35,75,1700
57,23,70,1600
68,45,54,3100
20,19,59,1700
73,1,54,3700
54,37,77,3700
59,36,75,1800
76,12,74,4000
80,26,61,1300
27,40,78,3600
46,5,66,1700
89,6,53,2200
56,32,56,3000
36,20,67,3900
55,14,73,2100
50,18,50,700
38,36,60,2800
78,42,56,800
63,2,75,100
43,43,53,3500
28,47,59,3800
18,9,55,500
22,24,66,3700
34,1,64,4000
68,9,53,100
37,47,54,1800
88,47,70,3300
59,28,74,1200
106,51,66,3800
45,41,56,1800
54,27,80,0
20,22,52,1500
16,3,74,1800
10,10,56,3200
76,22,71,2900
107,30,69,3100
104,12,54,3900
87,43,50,3900
64,35,55,2000
90,21,67,1600
58,31,67,1800
96,47,79,3800
36,24,56,1400
55,35,65,2700
44,51,62,3000
29,23,59,2100
62,45,53,800
44,13,50,2000
74,1,65,3400
18,9,57,1000
11,28,55,500
48,14,62,200
72,34,54,300
56,36,50,1100
104,24,55,3500
78,18,79,400
56,47,77,100
46,34,60,3200
109,29,54,500
18,16,56,3800
59,30,68,1400
52,25,79,3100
42,50,61,2900
77,31,56,1300
53,6,70,1100
59,47,54,2800
62,10,69,1600
18,44,62,2100
48,14,53,2100
10,51,72,3300
30,4,59,1700
56,9,79,0
105,50,50,3200
15,44,62,1900
67,36,72,1300
105,10,58,2200
50,39,76,3700
86,50,73,800
96,21,69,1500
18,42,77,3100
92,40,68,600
57,34,74,800
109,42,60,3800
15,43,66,1800
46,41,52,3400
58,6,77,700
26,37,61,1800
47,33,73,600
38,8,66,1200
35,12,72,2300
27,49,80,2600
77,9,65,1400
56,18,78,3500
25,34,71,1900
105,10,52,2500
90,26,74,300
10,23,74,2200
36,45,67,2000
32,21,80,1500
60,28,62,700
21,45,78,600
63,18,50,900
106,21,51,1800
93,24,80,2900
27,14,56,2000
61,27,53,3700
85,42,67,2000
92,41,50,2400
29,37,73,2800
95,50,52,600
65,49,53,3000
85,15,52,2800
83,16,59,2900
89,39,56,1400
50,13,51,500
91,13,79,1000
84,51,55,2300
44,8,75,1600
25,52,57,1200
101,19,52,1000
13,28,63,3900
10,43,50,2100
44,46,70,400
52,27,53,400
79,5,70,2000
25,10,73,800
10,12,58,1000
28,47,59,1900
84,45,60,2500
63,33,64,2800
55,28,61,4000
14,3,51,3100
83,31,54,3400
90,32,53,700
48,28,71,200
73,31,69,3200
11,3,75,0
78,22,63,2900
34,3,64,2800
52,5,61,1700
33,50,80,3800
51,43,62,3700
11,10,74,800
37,39,60,1700
43,2,62,3300
31,31,51,3700
84,4,54,400
63,22,62,600
23,37,75,1000
32,51,57,300
77,16,75,3100
105,16,57,500
91,51,53,2700
78,35,74,1400
11,28,54,200
23,48,80,300
58,26,78,2200
40,30,67,3000
41,52,64,900
36,26,71,500
27,50,64,2100
65,11,67,1200
81,7,67,2700
89,14,57,3400
30,17,56,1800
57,52,76,3000
10,30,71,2500
64,24,61,3000
105,40,69,600
63,41,55,3200
21,29,54,2500
72,40,60,2700
85,7,62,1900
38,19,62,800
37,24,61,3700
83,36,71,100
16,4,78,2800
38,51,51,2600
50,18,75,1800
10,27,54,3500
26,33,53,2400
48,1,69,1900
96,32,66,600
81,13,67,2800
98,37,66,0
25,50,55,3300
92,3,53,3000
83,40,51,1500
76,1,68,700
79,14,72,3400
18,44,54,3100
23,17,57,3300
56,40,59,3000
56,1,70,1200
68,24,80,2500
77,46,69,2200
19,39,78,1900
63,51,71,100
70,49,58,2100
